nama_shelter;alamat_shelter;latitude;longitude;jenis_hewan
Kenanga Cattery;Gg. Flamboyan No.329, Padang Terubuk, Kec. Senapelan, Kota Pekanbaru, Riau 28155;0.534625239246168;101.436516911785000;Kucing
Cat House Ajukir;Jl. Rw. Indah No.6, RT.02/RW.10, Sidomulyo Tim., Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28288;0.479195854981665;101.445824026907000;Kucing
Burney D'cat;Jl. Tengku Bey Ujung, Prum Griya Intan Permai, Simpang Tiga, Bukit Raya, Pekanbaru City, Riau 28282;0.454343452728900;101.477719000681000;Kucing
BHOEY;Jl. Gn. Kelabat No.59, Rejosari, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28111;0.524965456443406;101.471298583882000;Lainnya
chewyloky cathouse;Jl. Sail No.120, Rejosari, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28112;0.536148929162361;101.480825653970000;Kucing
Yahya Makassar Pet's;Jl. Raya Baruga, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234;-5.155570469220600;119.483587884421000;Lainnya
Ragdoll Cat House Makassar;Jl. Urip Sumoharjo I No.60, Karuwisi Utara, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232;-5.131105170858910;119.431367377057000;Kucing
Pasar Hobi;Jl. Toddopuli Raya, Paropo, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231;-5.158012408445080;119.454320234521000;Lainnya
Iwan Cat House;Bontoala, Pallangga, Gowa Regency, South Sulawesi 92111;-5.204910214715530;119.439594029816000;Kucing
Soft Cat Off Sulsel;Jl. Mannuruki Btn Tabaria No.E7/1, RT.001/RW.07, Mannuruki, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221;-5.177379528021490;119.429773109820000;Kucing
adopsi kucing makassar;Lorong 2 No.35, Mangasa, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221;-5.186204530216820;119.436573547623000;Kucing
Caritamako Betta;Lrg. 13 No.5, Kalukuang, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90211;-5.128226975843020;119.430278262939000;Lainnya
Rumah Kucing Makassar;Borong, Manggala, Makassar City, South Sulawesi 90221;-5.168382447856980;119.458224314828000;Kucing
ADETYAS;Salobulo, North Wara, Palopo City, South Sulawesi 91913;-2.985925428767960;120.180168626730000;Kucing
Leandha Cat Breeder;Jalan Jabal Nur No. 136 Lorong kiri ke dua, Tiro Sompe, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123;-4.025828396186880;119.627044475681000;Kucing
IAM Home Grooming;Jl. Andi Makkasau Timur No.203, Ujung Lare, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131;-4.007887396444970;119.628468055166000;Kucing
Conan cat pare pare ( cat house );BTN RAMA RESIDEN, Jl, Jl. Lagaligo, Lompoe, Kec. Bacukiki, Kota Parepare, Sulawesi Selatan 91111;-4.032161072587570;119.644741583630000;Kucing
Cat Shelter Palu;Jl. Mangunsarkoro No.29, Besusu Tim., Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111;-0.895117311205558;119.883868107564000;Kucing
Rumah Ternak Kambing;Donggala Kodi, Palu Barat, Palu City, Central Sulawesi 94111;-0.893214876142392;119.844521657256000;Lainnya
Herli pet shop;Jl. Mangga, Kamonji, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111;-0.900595410824875;119.854993000686000;Lainnya
Hamsterku palu;Lorong Kosgoro No.15, Lolu Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111;-0.903684932540662;119.881085528575000;Lainnya
Rumah Kucing Palu;BTN, Lasoani, Bawah, Kota Palu, Sulawesi Tengah 94112;-0.902592017468677;119.911238793678000;Kucing
Buton Petshop & Care;Tarafu, Batupoaro, Bau-Bau City, South East Sulawesi 93721;-5.459731937906450;122.594454791048000;Kucing
Buton Petshop & Care;Tarafu, Batupoaro, Bau-Bau City, South East Sulawesi 93721;-5.459731937906450;122.594454791048000;Anjing
Queen Petshop Baubau;Jl. Erlangga No.174, Bone-Bone, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 93712;-5.466478300000000;122.589599211685000;Kucing
Adop kucing kendari 01;Kota Bangun, Ranomeeto, South Konawe Regency, South East Sulawesi 93563;-4.044653866187350;122.467447395888000;Kucing
Tasikoki Wildlife Rescue Centre;Jl. Raya Tanjung Merah - Kema, Desa Watudambo, Jaga 10, Kauditan, Minahasa Utara, Sulawesi Utara, 95372;1.395321173616680;125.101592295888000;Lainnya
Animal Friends Manado Indonesia AFMI;Jl. Ahmad Yani, Sario Tumpaan, Kec. Sario, Kota Manado, Sulawesi Utara;1.467271552928070;124.831013003548000;Lainnya
Animal Friends Manado Indonesia AFMI;Jl. Ahmad Yani, Sario Tumpaan, Kec. Sario, Kota Manado, Sulawesi Utara;1.467271552928070;124.831013003548000;Anjing
